Grade,Subject,Chapter No.,Chapter,Part No.,Content_Title,Duration,youtube_link
Class 6,गणित,3,संख्याओं के साथ खेलना,11,प्रश्नावली 3.3 ( प्रश्न संख्या - 1 ),2515,www.youtube.com/embed/StZFqZ_Lzrg
Class 6,गणित,3,संख्याओं के साथ खेलना,12,प्रश्नावली 3.3 ( प्रश्न संख्या - 2 ),822,www.youtube.com/embed/2h5ec2csC9E
Class 6,गणित,3,संख्याओं के साथ खेलना,13,प्रश्नावली 3.3 ( प्रश्न संख्या - 3 ),644,www.youtube.com/embed/oOCdYAe8pvQ
Class 6,गणित,3,संख्याओं के साथ खेलना,14,प्रश्नावली 3.3 ( प्रश्न संख्या - 4 ),662,www.youtube.com/embed/HUp8Xdxj2p4
Class 6,गणित,3,संख्याओं के साथ खेलना,15,प्रश्नावली 3.3 ( प्रश्न संख्या - 5 व 6 ),1375,www.youtube.com/embed/NZf9TWjzmrg
Class 6,गणित,3,संख्याओं के साथ खेलना,16,सार्व गुणनखंड और सार्व गुणज,1666,www.youtube.com/embed/xj0_KxGe330
Class 6,गणित,3,संख्याओं के साथ खेलना,17,प्रश्नावली 3.4 ( प्रश्न संख्या - 1 व 2 ),743,www.youtube.com/embed/sorfEhsiyxI
Class 6,गणित,3,संख्याओं के साथ खेलना,18,प्रश्नावली 3.4 ( प्रश्न संख्या - 3 व 4 ),474,www.youtube.com/embed/ejnXUZlu_N8
Class 6,गणित,3,संख्याओं के साथ खेलना,19,प्रश्नावली 3.4 ( प्रश्न संख्या - 5 ),899,www.youtube.com/embed/-XtR9KVZpj8
Class 6,गणित,3,संख्याओं के साथ खेलना,20,प्रश्नावली 3.4 ( प्रश्न संख्या - 6 व 7 ),549,www.youtube.com/embed/XvUGz3MkVgA
Class 6,गणित,3,संख्याओं के साथ खेलना,21,विभाज्यता के कुछ और नियम,1009,www.youtube.com/embed/fBpKWS9Vt1Q
Class 6,संस्कृत,1,शब्द परिचय : 1,1,सामान्य परिचय :,503,www.youtube.com/embed/mocTgKbuFSQ
Class 6,संस्कृत,1,शब्द परिचय : 1,2,वचनप्रयोग: (एकवचनस्य प्रयोग:),433,www.youtube.com/embed/f60EEzrQtaY
Class 6,संस्कृत,1,शब्द परिचय : 1,3,वचनप्रयोग: (द्विवचनस्य प्रयोग:),545,www.youtube.com/embed/ym5UFGT16XQ
Class 6,संस्कृत,1,शब्द परिचय : 1,4,वचनप्रयोग: (बहुवचनस्य प्रयोग:),362,www.youtube.com/embed/c4sTG5L4ezg
Class 6,संस्कृत,1,शब्द परिचय : 1,5,अभ्यासप्रश्ना:,1864,www.youtube.com/embed/stx1f0KFMhE
Class 6,संस्कृत,2,शब्द परिचयः 2,1,सामान्य परिचय :,716,www.youtube.com/embed/hmF72OXRPjU
Class 6,संस्कृत,2,शब्द परिचयः 2,2,वचनप्रयोग: (एकवचनस्य प्रयोग:),491,www.youtube.com/embed/UEhy7-0Jnh8
Class 6,संस्कृत,2,शब्द परिचयः 2,3,वचनप्रयोग: (द्विवचनस्य प्रयोग:),578,www.youtube.com/embed/E3BcEvGCQa8
Class 6,संस्कृत,2,शब्द परिचयः 2,4,वचनप्रयोग: (बहुवचनस्य प्रयोग:),584,www.youtube.com/embed/dGYCZu2JTO0
Class 6,संस्कृत,2,शब्द परिचयः 2,5,अभ्यासप्रश्ना:,1627,www.youtube.com/embed/UXLHcjXc3Ec
Class 6,संस्कृत,3,शब्द परिचयः 3,1,सामान्य परिचय :,731,www.youtube.com/embed/pxmSoyf4rh8
Class 6,संस्कृत,3,शब्द परिचयः 3,2,एकवचनस्य प्रयोग :,506,www.youtube.com/embed/QDmT9JXReMo
